Date,Open,High,Low,Close,Adj Close,Volume
2019-01-07,34.625000,36.222500,34.107498,35.849998,35.587318,70916000
2019-01-08,36.672501,36.695000,34.224998,34.957500,34.701355,78601600
2019-01-09,35.474998,36.122501,34.965000,35.645000,35.383823,61726000
2019-01-10,35.450001,36.395000,34.840000,36.307499,36.041462,52315600
2019-01-11,36.082500,37.437500,35.802502,37.207500,36.934875,87476400
2019-01-14,36.680000,37.865002,36.442501,37.610001,37.334423,73016800
2019-01-15,37.939999,38.337502,37.282501,37.467499,37.192963,61701200
2019-01-16,37.742500,38.075001,37.154999,37.209999,36.937351,47010400
2019-01-17,36.877499,38.332500,36.602501,37.930000,37.652077,49343600
2019-01-18,38.432499,39.494999,37.912498,39.232498,38.945038,65133600
2019-01-22,38.927502,39.044998,36.887501,37.192501,36.919983,66155200
2019-01-23,37.750000,38.645000,37.007500,37.322498,37.049034,59102000
2019-01-24,38.174999,39.637501,38.127499,39.459999,39.170868,70897200
2019-01-25,38.860001,40.220001,37.825001,40.037498,39.744137,115457200
2019-01-28,34.137501,35.410000,32.750000,34.502499,34.249695,251152800
2019-01-29,34.037498,34.525002,32.752499,32.900002,32.658932,115393200
2019-01-30,33.667500,34.492500,32.865002,34.347500,34.095825,97422800
2019-01-31,34.314999,36.297501,34.095001,35.937500,35.674183,84285200
2019-02-01,36.125000,36.697498,35.645000,36.182499,35.917374,62504800
2019-02-04,36.342499,37.669998,36.119999,37.294998,37.021732,52859200
2019-02-05,37.415001,37.857498,37.075001,37.487499,37.212818,54242400
2019-02-06,37.822498,38.900002,37.767502,38.250000,37.969727,70246400
2019-02-07,37.782501,37.805000,36.422501,36.855000,36.584961,63712000
2019-02-08,36.177502,37.150002,36.032501,37.042500,36.771084,46160400
2019-02-11,36.597500,37.145000,36.125000,36.612499,36.344227,49518000
2019-02-12,37.000000,37.950001,36.855000,37.792500,37.515587,59106000
2019-02-13,38.090000,38.957500,37.952499,38.220001,37.939949,60537200
2019-02-14,38.209999,38.917500,37.775002,38.632500,38.349422,82726400
2019-02-15,40.737499,40.967499,39.105000,39.334999,39.046780,151674800
2019-02-19,39.227501,39.972500,39.035000,39.160000,38.873058,55189200
2019-02-20,39.455002,40.314999,39.342499,39.637501,39.347065,54098800
2019-02-21,39.764999,40.012501,38.794998,38.942501,38.657162,44854800
