Date,Open,High,Low,Close,Adj Close,Volume
2022-01-08,1.004989,1.008431,0.980255,0.998319,0.998319,3248290
2022-01-09,0.998381,1.005152,0.995573,1.000119,1.000119,2113694
2022-01-10,1.000115,1.002925,0.985688,0.999724,0.999724,4468091
2022-01-11,0.999666,1.021359,0.998207,1.002379,1.002379,40904868
2022-01-12,1.002465,1.004855,0.999507,1.001673,1.001673,21550075
2022-01-13,1.001696,1.002780,0.993761,0.997984,0.997984,14588180
2022-01-14,0.998057,1.010273,0.995292,0.999862,0.999862,9241422
2022-01-15,0.999892,1.007537,0.996936,1.000145,1.000145,1568405
2022-01-16,1.000124,1.008324,0.997680,1.002452,1.002452,2960821
2022-01-17,1.004293,1.006595,0.996164,1.000900,1.000900,8091917
2022-01-18,1.001330,1.004143,0.993825,1.002668,1.002668,1373151
2022-01-19,1.002830,1.007580,0.997165,1.000010,1.000010,7947672
2022-01-20,0.999994,1.011222,0.996168,1.000158,1.000158,2083673
2022-01-21,1.000167,1.007065,0.991401,1.002984,1.002984,27418715
2022-01-22,1.003154,1.010797,0.996084,1.002132,1.002132,41655996
2022-01-23,1.002026,1.010686,0.993840,1.000965,1.000965,4482986
2022-01-24,1.001143,1.010020,0.994378,1.002922,1.002922,33506770
2022-01-25,1.002849,1.008564,0.996842,0.999823,0.999823,3134161
2022-01-26,0.999964,1.005784,0.993343,0.999580,0.999580,65861479
2022-01-27,0.999229,1.009250,0.993137,1.006117,1.006117,6878880
2022-01-28,1.005920,1.011399,0.996803,1.007043,1.007043,31137088
2022-01-29,1.006711,1.009521,0.998512,1.001634,1.001634,40754278
2022-01-30,1.001874,1.007385,0.998090,1.002930,1.002930,1822950
2022-01-31,1.002906,1.008872,0.995153,1.005623,1.005623,68143771
2022-02-01,1.005564,1.010301,0.998440,1.002796,1.002796,41537402
2022-02-02,1.002807,1.005234,0.995401,0.999443,0.999443,6932250
2022-02-03,0.999212,1.005274,0.994941,1.004732,1.004732,4299208
2022-02-04,1.004834,1.010236,0.995690,1.005909,1.005909,21202278
2022-02-05,1.006064,1.009405,0.996835,1.003287,1.003287,7109153
2022-02-06,1.003424,1.006851,0.998272,1.003384,1.003384,5122059
2022-02-07,1.003383,1.009026,0.998342,0.998715,0.998715,35862872
2022-02-08,0.999315,1.005437,0.993493,1.000245,1.000245,7916487
2022-02-09,1.000020,1.007746,0.996158,1.003406,1.003406,10502619
2022-02-10,1.003454,1.005178,0.995651,0.998672,0.998672,16080276
2022-02-11,0.998662,1.005269,0.994965,0.998990,0.998990,9692303
2022-02-12,0.999018,1.005199,0.995378,1.000255,1.000255,13315714
2022-02-13,1.000117,1.004635,0.994505,0.999999,0.999999,2938559
2022-02-14,0.999623,1.005960,0.992447,1.001108,1.001108,16218314
2022-02-15,1.001086,1.005672,0.996434,1.002757,1.002757,38052281
2022-02-16,1.002841,1.004205,0.997749,0.999422,0.999422,4863548
2022-02-17,0.999189,1.002954,0.992617,1.000962,1.000962,22164137
2022-02-18,1.001152,1.003814,0.994498,0.998263,0.998263,35353322
2022-02-19,0.998135,1.002174,0.995247,0.999062,0.999062,5412674
2022-02-20,0.999016,1.004191,0.994143,0.999077,0.999077,2244530
2022-02-21,0.998972,1.007230,0.994543,0.995386,0.995386,2225995
2022-02-22,0.995205,1.007137,0.992411,1.002430,1.002430,2038812
2022-02-23,1.002459,1.007206,0.994512,0.996982,0.996982,8105117
2022-02-24,0.996609,1.006580,0.992318,1.001311,1.001311,13237101
2022-02-25,1.001493,1.005618,0.994960,0.997541,0.997541,17482385
2022-02-26,0.997600,1.004134,0.994943,0.998434,0.998434,812695
2022-02-27,0.998387,1.003866,0.990372,0.997615,0.997615,10482960
2022-02-28,0.997632,1.004023,0.994135,1.000322,1.000322,14255184
2022-03-01,1.000377,1.003784,0.993452,1.002681,1.002681,3919484
2022-03-02,1.002718,1.005918,0.995988,1.000968,1.000968,12851699
2022-03-03,1.001003,1.003149,0.991831,1.000082,1.000082,952310
2022-03-04,1.000053,1.003800,0.993555,1.000709,1.000709,109807440
2022-03-05,1.000933,1.004115,0.998865,1.002129,1.002129,4498640
2022-03-06,1.002175,1.004052,0.994222,0.998789,0.998789,4647455
2022-03-07,0.998939,1.002981,0.994155,0.997356,0.997356,9713963
2022-03-08,0.997341,1.004843,0.994759,0.998419,0.998419,9556269
2022-03-09,0.998500,1.003783,0.996643,1.002268,1.002268,6177943
2022-03-10,1.002014,1.005869,0.996122,1.000864,1.000864,6168011
2022-03-11,1.001174,1.002903,0.995733,1.000548,1.000548,4728448
2022-03-12,1.000598,1.003690,0.996731,1.001697,1.001697,854402
2022-03-13,1.001790,1.003949,0.998523,1.001360,1.001360,808189
2022-03-14,1.001334,1.003870,0.995236,1.001324,1.001324,13619549
2022-03-15,1.001091,1.003615,0.995384,0.996601,0.996601,5039719
2022-03-16,0.996577,1.003583,0.995399,0.997893,0.997893,3314068
2022-03-17,0.997732,1.001690,0.995854,0.999283,0.999283,3579198
2022-03-18,0.999231,1.002746,0.996409,0.999129,0.999129,12864818
2022-03-19,0.999136,1.001577,0.995369,0.998988,0.998988,2442820
2022-03-20,0.999099,1.002283,0.994027,0.995824,0.995824,1470262
2022-03-21,0.995691,1.001917,0.995179,0.999640,0.999640,4440368
2022-03-22,0.999639,1.002099,0.995552,0.995977,0.995977,7269395
2022-03-23,0.995973,1.003814,0.994554,1.003101,1.003101,3494353
2022-03-24,1.003077,1.004806,0.997745,1.001401,1.001401,2429013
2022-03-25,1.001432,1.004960,0.995301,1.001151,1.001151,1252616
